,Investigator,Number of Studies
609,hector soto parra,4
610,kavita kalidas,4
611,kazutaka shimizu,4
612,james e. radford,4
613,giacomo g. baldi,4
614,mitul gandhi,4
615,lorenza rimassa,4
616,antonio d'onofrio,4
617,david e. einspahr,4
618,kelly nanette taylor,4
619,giancarlo bisagni,4
620,enrico vasile,4
621,mario petrini,4
622,sandro barni,4
623,filip baert,4
624,rohtagi anshu,4
625,francesca mazzoni,4
626,xavier hebuterne,4
627,andrea pace,4
628,jhanelle e. gray,4
629,mariano provencio,4
630,renato fanin,4
631,alessandro cignetti,4
632,francesco pierelli,4
633,jolita bekhof,4
634,andrea muratore,4
635,fausto catena,4
636,anna lia molinari,4
637,sabina chiaretti,4
638,claudia castellino,4
639,francesco leone,4
640,yoshihisa tatsuoka,4
641,vito fanelli,4
642,heather p. mcdowell,4
643,mark f. kozloff,4
644,maria di bartolomeo,4
645,marina elena cazzaniga,4
646,filippo montemurro,4
647,haran burri,4
648,francesco d'amico,4
649,philip e. lammers,4
650,stefano gasparini,4
651,mark a. klein,4
652,marc a. rovito,4
653,ilse hoffman,4
654,giuseppe saglio,4
655,paolo bonfanti,4
656,stefano genovese,4
657,giampaolo niccoli,4
658,corrado boni,4
659,benedicte brichard,4
660,david m. spector,4
661,odette olivieri ramos,4
662,marta varga,4
663,georg hess,4
664,eric c. mcgary,4
665,vicente villanueva,4
666,monika meglicka,4
667,joseph reed moore,4
668,secondo lastoria,4
669,fabio vescini,4
670,vittorio stefoni,4
671,pierachille santus,4
672,simone morselli,4
673,annalisa boscolo,4
674,anna maria liberati,4
675,roberto silingardi,4
676,yujun dong,4
677,jennifer m. suga,4
678,jacques mansourati,4
679,fiorella ilariucci,4
680,mahmut gumus,4
681,muhammad salim,4
682,david y. lee,4
683,andrés jm ferreri,4
684,gian paolo rossi,4
685,luigia luciano,4
686,ciprian tomuleasa,4
687,curtis freedland,4
688,monica fumagalli,4
689,michael p. alexander,4
690,laura bonanno,4
691,researcher giuseppa bilello,4
692,norman wolmark,4
693,frederic newman,4
694,marshall p. stagg,4
695,michael a. schwartz,4
696,barbara ensoli,4
697,francesco speziale,4
698,victor vargas,4
699,francesco dentali,4
700,francesco sofi,4
701,patrizio vitulo,4
702,jignesh shah,4
703,charles s. kuzma,4
704,sarug reyes morales,4
705,avril molina garcia,4
706,pierre feugier,4
707,mauro campanini,4
708,harry sarles,4
709,aurelio seidita,4
710,mattia morri,4
711,claudio bruno,4
712,salvatore paiella,4
713,junning cao,4
714,clementina savastano,4
715,laszlo rejto,4
